"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"Cód.";"Município";"2021"
"1100015";"Alta Floresta D'Oeste (RO)";"734469,33"
"1100023";"Ariquemes (RO)";"3209761,40"
"1100031";"Cabixi (RO)";"238411,63"
"1100049";"Cacoal (RO)";"2792382,76"
"1100056";"Cerejeiras (RO)";"743037,38"
"1100064";"Colorado do Oeste (RO)";"424806,60"
"1100072";"Corumbiara (RO)";"396727,61"
"1100080";"Costa Marques (RO)";"316670,55"
"1100098";"Espigão D'Oeste (RO)";"773380,51"
"1100106";"Guajará-Mirim (RO)";"1054178,55"
"1100114";"Jaru (RO)";"1765088,79"
"1100122";"Ji-Paraná (RO)";"4231113,13"
"1100130";"Machadinho D'Oeste (RO)";"890320,40"
"1100148";"Nova Brasilândia D'Oeste (RO)";"548734,37"
"1100155";"Ouro Preto do Oeste (RO)";"985867,80"
"1100189";"Pimenta Bueno (RO)";"1642516,48"
"1100205";"Porto Velho (RO)";"20059521,86"
"1100254";"Presidente Médici (RO)";"559989,53"
"1100262";"Rio Crespo (RO)";"184430,17"
"1100288";"Rolim de Moura (RO)";"1565193,98"
"1100296";"Santa Luzia D'Oeste (RO)";"213556,00"
"1100304";"Vilhena (RO)";"4215045,76"
"1100320";"São Miguel do Guaporé (RO)";"905335,28"
"1100338";"Nova Mamoré (RO)";"742687,06"
"1100346";"Alvorada D'Oeste (RO)";"352628,35"
"1100379";"Alto Alegre dos Parecis (RO)";"483671,84"
"1100403";"Alto Paraíso (RO)";"510361,30"
"1100452";"Buritis (RO)";"966552,08"
"1100502";"Novo Horizonte do Oeste (RO)";"231501,79"
"1100601";"Cacaulândia (RO)";"275337,64"
"1100700";"Campo Novo de Rondônia (RO)";"369376,84"
"1100809";"Candeias do Jamari (RO)";"655606,24"
"1100908";"Castanheiras (RO)";"99626,81"
"1100924";"Chupinguaia (RO)";"468792,65"
"1100940";"Cujubim (RO)";"487480,17"
"1101005";"Governador Jorge Teixeira (RO)";"239330,27"
"1101104";"Itapuã do Oeste (RO)";"210030,62"
"1101203";"Ministro Andreazza (RO)";"297878,17"
"1101302";"Mirante da Serra (RO)";"262640,40"
"1101401";"Monte Negro (RO)";"389890,80"
"1101435";"Nova União (RO)";"157320,81"
"1101450";"Parecis (RO)";"155434,26"
"1101468";"Pimenteiras do Oeste (RO)";"246208,62"
"1101476";"Primavera de Rondônia (RO)";"107029,67"
"1101484";"São Felipe D'Oeste (RO)";"130675,81"
"1101492";"São Francisco do Guaporé (RO)";"488042,89"
"1101500";"Seringueiras (RO)";"332986,99"
"1101559";"Teixeirópolis (RO)";"121300,64"
"1101609";"Theobroma (RO)";"257425,79"
"1101708";"Urupá (RO)";"273501,27"
"1101757";"Vale do Anari (RO)";"220587,91"
"1101807";"Vale do Paraíso (RO)";"185648,19"
"1200013";"Acrelândia (AC)";"398724,88"
"1200054";"Assis Brasil (AC)";"133916,18"
"1200104";"Brasiléia (AC)";"685636,23"
"1200138";"Bujari (AC)";"300830,27"
"1200179";"Capixaba (AC)";"512352,89"
"1200203";"Cruzeiro do Sul (AC)";"2058629,67"
"1200252";"Epitaciolândia (AC)";"644541,50"
"1200302";"Feijó (AC)";"567040,49"
"1200328";"Jordão (AC)";"113975,21"
"1200336";"Mâncio Lima (AC)";"269204,84"
"1200344";"Manoel Urbano (AC)";"184903,71"
"1200351";"Marechal Thaumaturgo (AC)";"256864,84"
"1200385";"Plácido de Castro (AC)";"601470,51"
"1200393";"Porto Walter (AC)";"160534,75"
"1200401";"Rio Branco (AC)";"10955674,86"
"1200427";"Rodrigues Alves (AC)";"255648,56"
"1200435";"Santa Rosa do Purus (AC)";"108545,11"
"1200450";"Senador Guiomard (AC)";"779671,69"
"1200500";"Sena Madureira (AC)";"748094,17"
"1200609";"Tarauacá (AC)";"711884,41"
"1200708";"Xapuri (AC)";"454980,63"
"1200807";"Porto Acre (AC)";"471314,64"
"1300029";"Alvarães (AM)";"217332,51"
"1300060";"Amaturá (AM)";"118871,74"
"1300086";"Anamã (AM)";"138599,40"
"1300102";"Anori (AM)";"248435,25"
"1300144";"Apuí (AM)";"297810,09"
"1300201";"Atalaia do Norte (AM)";"184947,27"
"1300300";"Autazes (AM)";"506340,59"
"1300409";"Barcelos (AM)";"245621,57"
"1300508";"Barreirinha (AM)";"344889,51"
"1300607";"Benjamin Constant (AM)";"388780,90"
"1300631";"Beruri (AM)";"211871,21"
"1300680";"Boa Vista do Ramos (AM)";"182412,10"
"1300706";"Boca do Acre (AM)";"512795,58"
"1300805";"Borba (AM)";"402130,68"
"1300839";"Caapiranga (AM)";"177894,15"
"1300904";"Canutama (AM)";"154316,15"
"1301001";"Carauari (AM)";"370656,64"
"1301100";"Careiro (AM)";"395194,09"
"1301159";"Careiro da Várzea (AM)";"413374,15"
"1301209";"Coari (AM)";"3380278,02"
"1301308";"Codajás (AM)";"531995,47"
"1301407";"Eirunepé (AM)";"568039,48"
"1301506";"Envira (AM)";"215526,71"
"1301605";"Fonte Boa (AM)";"222773,43"
"1301654";"Guajará (AM)";"177320,17"
"1301704";"Humaitá (AM)";"860167,55"
"1301803";"Ipixuna (AM)";"216518,72"
"1301852";"Iranduba (AM)";"1001862,28"
"1301902";"Itacoatiara (AM)";"2350463,02"
"1301951";"Itamarati (AM)";"135619,96"
"1302009";"Itapiranga (AM)";"152509,18"
"1302108";"Japurá (AM)";"85808,93"
"1302207";"Juruá (AM)";"138073,55"
"1302306";"Jutaí (AM)";"266376,71"
"1302405";"Lábrea (AM)";"625198,55"
"1302504";"Manacapuru (AM)";"1544675,04"
"1302553";"Manaquiri (AM)";"311334,94"
"1302603";"Manaus (AM)";"103281436,04"
"1302702";"Manicoré (AM)";"686279,20"
"1302801";"Maraã (AM)";"176217,18"
"1302900";"Maués (AM)";"595826,61"
"1303007";"Nhamundá (AM)";"207005,20"
"1303106";"Nova Olinda do Norte (AM)";"341652,22"
"1303205";"Novo Airão (AM)";"186533,35"
"1303304";"Novo Aripuanã (AM)";"252421,95"
"1303403";"Parintins (AM)";"1426984,35"
"1303502";"Pauini (AM)";"199541,32"
"1303536";"Presidente Figueiredo (AM)";"1031905,06"
"1303569";"Rio Preto da Eva (AM)";"407145,84"
"1303601";"Santa Isabel do Rio Negro (AM)";"185816,96"
"1303700";"Santo Antônio do Içá (AM)";"237314,01"
"1303809";"São Gabriel da Cachoeira (AM)";"423053,80"
"1303908";"São Paulo de Olivença (AM)";"334131,30"
"1303957";"São Sebastião do Uatumã (AM)";"136609,08"
"1304005";"Silves (AM)";"175041,61"
"1304062";"Tabatinga (AM)";"758035,60"
"1304104";"Tapauá (AM)";"239943,81"
"1304203";"Tefé (AM)";"1098392,40"
"1304237";"Tonantins (AM)";"185410,26"
"1304260";"Uarini (AM)";"229208,98"
"1304302";"Urucará (AM)";"205655,74"
"1304401";"Urucurituba (AM)";"232660,62"
"1400027";"Amajari (RR)";"240826,10"
"1400050";"Alto Alegre (RR)";"385506,66"
"1400100";"Boa Vista (RR)";"13493364,05"
"1400159";"Bonfim (RR)";"522405,21"
"1400175";"Cantá (RR)";"353071,27"
"1400209";"Caracaraí (RR)";"453297,54"
"1400233";"Caroebe (RR)";"236787,80"
"1400282";"Iracema (RR)";"208476,68"
"1400308";"Mucajaí (RR)";"393852,03"
"1400407";"Normandia (RR)";"202859,42"
"1400456";"Pacaraima (RR)";"329091,96"
"1400472";"Rorainópolis (RR)";"732355,77"
"1400506";"São João da Baliza (RR)";"327768,10"
"1400605";"São Luiz (RR)";"178971,58"
"1400704";"Uiramutã (RR)";"143945,31"
"1500107";"Abaetetuba (PA)";"1949340,72"
"1500131";"Abel Figueiredo (PA)";"105495,79"
"1500206";"Acará (PA)";"1433439,84"
"1500305";"Afuá (PA)";"444235,79"
"1500347";"Água Azul do Norte (PA)";"643132,32"
"1500404";"Alenquer (PA)";"745403,10"
"1500503";"Almeirim (PA)";"688370,09"
"1500602";"Altamira (PA)";"3120219,10"
"1500701";"Anajás (PA)";"259019,58"
"1500800";"Ananindeua (PA)";"8939829,78"
"1500859";"Anapu (PA)";"588032,29"
"1500909";"Augusto Corrêa (PA)";"363770,78"
"1500958";"Aurora do Pará (PA)";"308632,69"
"1501006";"Aveiro (PA)";"151969,22"
"1501105";"Bagre (PA)";"250547,55"
"1501204";"Baião (PA)";"562146,66"
"1501253";"Bannach (PA)";"129007,48"
"1501303";"Barcarena (PA)";"9243936,59"
"1501402";"Belém (PA)";"33467126,22"
"1501451";"Belterra (PA)";"237196,26"
"1501501";"Benevides (PA)";"1986728,90"
"1501576";"Bom Jesus do Tocantins (PA)";"243883,11"
"1501600";"Bonito (PA)";"206682,15"
"1501709";"Bragança (PA)";"1389572,58"
"1501725";"Brasil Novo (PA)";"379813,13"
"1501758";"Brejo Grande do Araguaia (PA)";"115088,44"
"1501782";"Breu Branco (PA)";"794308,73"
"1501808";"Breves (PA)";"893933,28"
"1501907";"Bujaru (PA)";"536730,47"
"1501956";"Cachoeira do Piriá (PA)";"227634,16"
"1502004";"Cachoeira do Arari (PA)";"255830,01"
"1502103";"Cametá (PA)";"1393689,60"
"1502152";"Canaã dos Carajás (PA)";"34989610,09"
"1502202";"Capanema (PA)";"1427144,39"
"1502301";"Capitão Poço (PA)";"615772,82"
"1502400";"Castanhal (PA)";"4709312,38"
"1502509";"Chaves (PA)";"248270,22"
"1502608";"Colares (PA)";"100969,32"
"1502707";"Conceição do Araguaia (PA)";"662825,06"
"1502756";"Concórdia do Pará (PA)";"420235,55"
"1502764";"Cumaru do Norte (PA)";"406927,48"
"1502772";"Curionópolis (PA)";"3667340,78"
"1502806";"Curralinho (PA)";"282512,40"
"1502855";"Curuá (PA)";"149716,90"
"1502905";"Curuçá (PA)";"369776,76"
"1502939";"Dom Eliseu (PA)";"940611,43"
"1502954";"Eldorado do Carajás (PA)";"556042,40"
"1503002";"Faro (PA)";"76729,91"
"1503044";"Floresta do Araguaia (PA)";"602622,89"
"1503077";"Garrafão do Norte (PA)";"276032,65"
"1503093";"Goianésia do Pará (PA)";"506638,18"
"1503101";"Gurupá (PA)";"334287,02"
"1503200";"Igarapé-Açu (PA)";"415894,01"
"1503309";"Igarapé-Miri (PA)";"691233,36"
"1503408";"Inhangapi (PA)";"174628,50"
"1503457";"Ipixuna do Pará (PA)";"625212,97"
"1503507";"Irituia (PA)";"278005,93"
"1503606";"Itaituba (PA)";"3078558,25"
"1503705";"Itupiranga (PA)";"841955,86"
"1503754";"Jacareacanga (PA)";"625759,62"
"1503804";"Jacundá (PA)";"615694,79"
"1503903";"Juruti (PA)";"1451756,37"
"1504000";"Limoeiro do Ajuru (PA)";"503050,92"
"1504059";"Mãe do Rio (PA)";"340310,64"
"1504109";"Magalhães Barata (PA)";"98431,99"
"1504208";"Marabá (PA)";"13523145,28"
"1504307";"Maracanã (PA)";"289996,99"
"1504406";"Marapanim (PA)";"263656,85"
"1504422";"Marituba (PA)";"2578541,41"
"1504455";"Medicilândia (PA)";"1023971,63"
"1504505";"Melgaço (PA)";"216854,88"
"1504604";"Mocajuba (PA)";"452081,94"
"1504703";"Moju (PA)";"1348480,96"
"1504752";"Mojuí dos Campos (PA)";"288643,61"
"1504802";"Monte Alegre (PA)";"807340,06"
"1504901";"Muaná (PA)";"338763,85"
"1504950";"Nova Esperança do Piriá (PA)";"350841,53"
"1504976";"Nova Ipixuna (PA)";"192605,50"
"1505007";"Nova Timboteua (PA)";"147490,96"
"1505031";"Novo Progresso (PA)";"971539,11"
"1505064";"Novo Repartimento (PA)";"1117033,95"
"1505106";"Óbidos (PA)";"965929,86"
"1505205";"Oeiras do Pará (PA)";"419076,52"
"1505304";"Oriximiná (PA)";"2278575,41"
"1505403";"Ourém (PA)";"200628,51"
"1505437";"Ourilândia do Norte (PA)";"1302429,28"
"1505486";"Pacajá (PA)";"867605,17"
"1505494";"Palestina do Pará (PA)";"98768,86"
"1505502";"Paragominas (PA)";"4280508,36"
"1505536";"Parauapebas (PA)";"49763039,61"
"1505551";"Pau D'Arco (PA)";"114869,82"
"1505601";"Peixe-Boi (PA)";"72327,03"
"1505635";"Piçarra (PA)";"292754,58"
"1505650";"Placas (PA)";"323262,68"
"1505700";"Ponta de Pedras (PA)";"275229,86"
"1505809";"Portel (PA)";"945733,13"
"1505908";"Porto de Moz (PA)";"404676,63"
"1506005";"Prainha (PA)";"442969,47"
"1506104";"Primavera (PA)";"321726,05"
"1506112";"Quatipuru (PA)";"120881,86"
"1506138";"Redenção (PA)";"2552479,29"
"1506161";"Rio Maria (PA)";"601871,92"
"1506187";"Rondon do Pará (PA)";"734050,16"
"1506195";"Rurópolis (PA)";"496837,22"
"1506203";"Salinópolis (PA)";"641900,69"
"1506302";"Salvaterra (PA)";"210370,98"
"1506351";"Santa Bárbara do Pará (PA)";"240524,22"
"1506401";"Santa Cruz do Arari (PA)";"96042,73"
"1506500";"Santa Izabel do Pará (PA)";"935129,08"
"1506559";"Santa Luzia do Pará (PA)";"196168,10"
"1506583";"Santa Maria das Barreiras (PA)";"1072244,49"
"1506609";"Santa Maria do Pará (PA)";"371642,16"
"1506708";"Santana do Araguaia (PA)";"1381971,63"
"1506807";"Santarém (PA)";"6390528,31"
"1506906";"Santarém Novo (PA)";"60065,43"
"1507003";"Santo Antônio do Tauá (PA)";"475569,11"
"1507102";"São Caetano de Odivelas (PA)";"183191,18"
"1507151";"São Domingos do Araguaia (PA)";"359021,28"
"1507201";"São Domingos do Capim (PA)";"438410,28"
"1507300";"São Félix do Xingu (PA)";"2009122,07"
"1507409";"São Francisco do Pará (PA)";"264373,94"
"1507458";"São Geraldo do Araguaia (PA)";"710684,37"
"1507466";"São João da Ponta (PA)";"57407,08"
"1507474";"São João de Pirabas (PA)";"182167,69"
"1507508";"São João do Araguaia (PA)";"186890,29"
"1507607";"São Miguel do Guamá (PA)";"793138,62"
"1507706";"São Sebastião da Boa Vista (PA)";"245027,55"
"1507755";"Sapucaia (PA)";"141176,27"
"1507805";"Senador José Porfírio (PA)";"246281,32"
"1507904";"Soure (PA)";"241802,98"
"1507953";"Tailândia (PA)";"1291722,48"
"1507961";"Terra Alta (PA)";"83046,10"
"1507979";"Terra Santa (PA)";"519541,12"
"1508001";"Tomé-Açu (PA)";"1040635,19"
"1508035";"Tracuateua (PA)";"285330,17"
"1508050";"Trairão (PA)";"327522,83"
"1508084";"Tucumã (PA)";"984423,17"
"1508100";"Tucuruí (PA)";"5614501,33"
"1508126";"Ulianópolis (PA)";"1995884,06"
"1508159";"Uruará (PA)";"774530,03"
"1508209";"Vigia (PA)";"476786,63"
"1508308";"Viseu (PA)";"618568,48"
"1508357";"Vitória do Xingu (PA)";"4230777,51"
"1508407";"Xinguara (PA)";"1605020,18"
"1600055";"Serra do Navio (AP)";"92154,88"
"1600105";"Amapá (AP)";"159543,27"
"1600154";"Pedra Branca do Amapari (AP)";"453324,13"
"1600204";"Calçoene (AP)";"184495,70"
"1600212";"Cutias (AP)";"94625,12"
"1600238";"Ferreira Gomes (AP)";"578381,48"
"1600253";"Itaubal (AP)";"87890,92"
"1600279";"Laranjal do Jari (AP)";"1134587,12"
"1600303";"Macapá (AP)";"12938060,02"
"1600402";"Mazagão (AP)";"377734,40"
